Category,Item,Price_GBP,Notes
Starters,Paneer Tikka Sizzler,9.99,
Starters,Paneer Chilli,9.49,
Starters,Chilli Garlic Mushroom,9.49,
Starters,Paneer Popcorn,8.99,
Starters,Crispy Bhajiya,7.49,
Starters,Methi Bhajiya,6.99,6 pcs
Starters,Harabhara Kebab,7.99,
Starters,Kurkuri Bhindi,7.99,
Starters,Crispy Corn,7.99,
Starters,Masala Fried Idly,6.49,4 pcs
Starters,Chinese Combo Sizzler,11.99,
Starters,Mexican Sizzler,11.99,
Starters,Mexican Indian Style Quesadilla,5.99,
"Soups, Papad & Salads",Hot & Sour Soup,7.99,
"Soups, Papad & Salads",Manchow Soup,7.99,
"Soups, Papad & Salads",Burnt Ginger Water Chestnut Soup,7.99,
"Soups, Papad & Salads",Smoked Tomato Soup with Feta,7.99,
"Soups, Papad & Salads",Broccoli Almond Soup,7.99,
"Soups, Papad & Salads",Roasted Papad,2.99,2 pcs
"Soups, Papad & Salads",Fry Papad,3.99,2 pcs
"Soups, Papad & Salads",Masala Papad,3.49,
"Soups, Papad & Salads",Onion Salad,1.99,
"Soups, Papad & Salads",Masala Onion,2.99,
"Soups, Papad & Salads",Onion Tomato Salad,2.99,
"Soups, Papad & Salads",Masala Khichiya,3.99,
Street Food,Panipuri,3.49,8 pcs
Street Food,Plain Puri,1.99,8 pcs
Street Food,Ragdapuri,3.99,6 pcs
Street Food,Sev Puri,4.49,6 pcs
Street Food,Dahi Puri,4.49,6 pcs
Street Food,Papdi Chat,4.99,
Street Food,Samosa Ragda Chat,5.49,
Street Food,Samosa Chole Chat,5.49,
Street Food,Aloo Tikki Chat,4.99,
Street Food,Vadapav,2.99,
Street Food,Cheese Vadapav,3.99,
Street Food,Mari Garlic Mogo,6.99,
Street Food,Chilli Garlic Mogo,7.99,
Street Food,Chips,3.99,
Street Food,Fully Loaded Chips,7.99,
Street Food,Veg Samosa,5.99,4 pcs
Street Food,Punjabi Samosa,4.99,2 pcs
Street Food,Paneer Kathi Roll,7.99,
Street Food,Pizza Samosa,5.99,4 pcs
Street Food,Manchurian Kathi Roll,7.99,
Street Food,Bombay Sandwich,4.99,
Street Food,Halloumi Spinach & Salad Roll,7.99,
Street Food,Grilled Bombay Sandwich,7.99,
Street Food,Fully Loaded Sandwich,8.99,
Street Food,Paneer Tikka Sandwich,7.99,
Street Food,Chole Bhature,8.99,
Street Food,Pav Bhaji,8.99,
Street Food,Butter Pav Bhaji,9.99,
Street Food,Masala Pav,8.99,
Main Course,Veg Kolhapuri,9.99,
Main Course,Veg Makkhanwala,9.99,
Main Course,Veg Kofta,9.99,
Main Course,Veg Handi,9.99,
Main Course,Chana Masala,8.99,
Main Course,Moong Masala,8.99,
